year,average,sd
1961,-0.12,1.28
1962,-0.18,0.15
1963,0.44,0.9
1964,0.1,0.95
1965,0.06,0.19
1966,-0.21,0.94
1967,-0.21,1.24
1968,-0.8,1.72
1969,-0.6,0.78
1970,-0.66,1.3
1971,-0.58,0.42
1972,0.15,1.12
1973,-0.66,0.91
1974,0.18,1.2
1975,-0.06,0.59
1976,-0.6,0.93
1977,-0.57,0.33
1978,-0.35,1.5
1979,0.51,0.56
1980,-0.24,0.81
1981,0.45,1.05
1982,1.19,0.36
1983,0.54,0.39
1984,-0.29,0.48
1985,1.17,0.62
1986,0.46,0.62
1987,-0.7,1.74
1988,0.62,0.64
1989,0.8,0.85
1990,0.16,0.73
1991,0.66,0.2
1992,0.13,0.5
1993,0.6,0.42
1994,-0.25,1.29
1995,0.12,0.93
1996,-0.12,0.75
1997,0.8,1.26
1998,1.06,0.44
1999,0.6,0.1
2000,1.01,1
2001,-0.08,0.24
2002,0.89,0.95
2003,0.39,0.18
2004,0.11,1.04
2005,1.1,1.22
2006,0.27,1.47
2007,-0.13,0.96
2008,0.93,0.56
2009,0.67,0.76
2010,0.42,1.56
2011,0.17,0.77
2012,0.96,0.98
2013,0.86,0.83
2014,1.53,0.28
2015,0.58,0.28
2016,1,0.14
2017,1.41,0.73
2018,1.9,0.53
2019,1.17,0.48
2020,1.43,1.22
2021,1.6,0.79
2022,1.19,0.85
2023,1.59,0.51
2024,1.62,1.32
2025,1.24,0.95
2026,1.39,0.46
2027,0.56,0.87
2028,0.91,0.94
2029,0.91,0.47
2030,1.27,0.55
2031,1.75,0.65
2032,1.94,0.23
2033,1.38,0.5
2034,1.7,0.35
2035,1.7,0.88
2036,1.39,0.42
2037,2.07,0.99
2038,0.5,1.46
2039,1.16,0.12
2040,0.7,0.88
2041,1.83,0.35
2042,1.53,0.99
2043,1.38,0.62
2044,2.1,0.72
2045,2.24,1.05
2046,1.96,0.62
2047,2.47,0.59
2048,2.47,0.3
2049,1.79,0.16
2050,2.22,0.25
2051,2.11,0.79
2052,1.66,0.71
2053,1.54,0.44
2054,1.48,0.56
2055,2.19,0.35
2056,1.17,0.07
2057,0.93,1.85
2058,1.99,0.2
2059,1.73,0.16
2060,1.6,0.68
2061,0.76,1.39
2062,2.71,1.56
2063,2.35,0.18
2064,1.33,0.41
2065,1.42,0.87
2066,1.16,0.23
2067,1.57,0.84
2068,1.01,1.12
2069,1.68,0.41
2070,1.61,0.54
2071,2.16,0.25
2072,1.53,0.27
2073,1.13,0.8
2074,1.09,1.03
2075,1.89,1.04
2076,2.25,0.32
2077,1.99,1.1
2078,2.16,1.2
2079,1.8,0.22
2080,1.94,0.81
2081,1.62,0.54
2082,2.59,1.37
2083,1.26,1.07
2084,1.58,0.44
2085,1.3,1.09
2086,2.24,0.23
2087,2.32,0.92
2088,2.88,0.35
2089,1.67,0.32
2090,0.89,0.57
2091,1.5,0.44
2092,1.71,0.26
2093,1.76,0.88
2094,1.35,1.12
2095,1.75,0.78
2096,1.92,1.78
2097,1.36,1.09
2098,1.56,1.13
2099,1.45,0.15
2100,1.67,0.11
