Region ID,Region Name,Building Type ID,Building Type Name,Floor Space ID,Floor Space Name,2013,2014,2015,2016,2017,2018,2019,2020
0184,Solna,SMAHUS,one- or two-dwelling buildings,30mindre,< 31 sq.m.,0,0,0,0,0,0,0,0
,,,,31,31-40 sq.m.,4,5,5,5,5,5,5,4
,,,,41,41-50 sq.m.,3,3,3,3,3,3,3,2
,,,,51,51-60 sq.m.,2,2,2,2,3,3,3,3
,,,,61,61-70 sq.m.,12,12,12,11,11,11,11,12
,,,,71,71-80 sq.m.,15,15,15,15,15,15,15,16
,,,,81,81-90 sq.m.,16,16,16,15,16,16,16,16
,,,,91,91-100 sq.m.,31,31,30,29,30,29,30,29
,,,,101,101-110 sq.m.,46,46,45,45,47,47,46,47
,,,,111,111-120 sq.m.,42,42,42,43,41,43,44,43
,,,,121,121-130 sq.m.,49,49,48,48,49,49,49,51
,,,,131,131-140 sq.m.,51,50,49,47,46,46,47,47
,,,,141,141-150 sq.m.,30,31,31,31,30,30,31,31
,,,,151,151-160 sq.m.,53,55,55,56,55,56,55,57
,,,,161,161-170 sq.m.,27,28,28,28,28,28,27,26
,,,,171,171-180 sq.m.,19,19,19,19,19,19,19,19
,,,,181,181-190 sq.m.,15,14,14,14,14,14,14,15
,,,,191,191-200 sq.m.,16,17,16,16,16,16,17,18
,,,,200plus,> 200 sq.m.,76,76,76,76,74,75,76,77
,,,,US,data missing,0,0,0,164,168,166,163,168
,,FLERBOST,multi-dwelling buildings,30mindre,< 31 sq.m.,1569,1600,1613,1625,1634,1679,1693,2028
,,,,31,31-40 sq.m.,2563,2612,2623,2747,2779,2812,2886,3002
,,,,41,41-50 sq.m.,3213,3320,3416,3679,3565,3724,3935,4028
,,,,51,51-60 sq.m.,5423,5557,5646,5756,5741,5791,5897,6102
,,,,61,61-70 sq.m.,5227,5341,5380,5559,5486,5581,5678,5804
,,,,71,71-80 sq.m.,6103,6232,6374,6428,6435,6493,6522,6564
,,,,81,81-90 sq.m.,4259,4368,4441,4466,4490,4505,4526,4553
,,,,91,91-100 sq.m.,3004,3128,3175,3205,3218,3258,3276,3318
,,,,101,101-110 sq.m.,1608,1654,1688,1713,1706,1735,1739,1757
,,,,111,111-120 sq.m.,835,867,874,890,894,897,897,898
,,,,121,121-130 sq.m.,476,483,484,491,490,493,492,497
,,,,131,131-140 sq.m.,202,210,213,215,215,215,214,222
,,,,141,141-150 sq.m.,176,178,177,181,181,181,181,181
,,,,151,151-160 sq.m.,136,145,145,145,145,150,150,150
,,,,161,161-170 sq.m.,27,29,29,29,30,30,30,30
,,,,171,171-180 sq.m.,19,19,19,19,19,19,19,19
,,,,181,181-190 sq.m.,16,16,16,16,16,16,16,15
,,,,191,191-200 sq.m.,6,6,6,6,6,6,6,7
,,,,200plus,> 200 sq.m.,6,6,6,6,6,6,6,6
,,,,US,data missing,0,0,0,0,0,0,0,0
,,OVRHUS,other buildings,30mindre,< 31 sq.m.,31,31,31,31,31,31,31,13
,,,,31,31-40 sq.m.,28,27,28,32,32,56,32,31
,,,,41,41-50 sq.m.,36,32,37,37,38,74,38,34
,,,,51,51-60 sq.m.,96,56,126,127,126,137,126,102
,,,,61,61-70 sq.m.,152,112,138,138,137,137,129,107
