Region ID,Region Name,Building Type ID,Building Type Name,Year of Construction,2013,2014,2015,2016,2017,2018,2019,2020
0184,Solna,SMAHUS,one- or two-dwelling buildings,-1930,241,244,241,263,265,266,266,269
,,,,1931-1940,113,114,112,113,111,111,113,114
,,,,1941-1950,68,68,69,67,67,69,68,67
,,,,1951-1960,15,15,14,13,14,14,15,17
,,,,1961-1970,12,12,12,12,12,12,12,12
,,,,1971-1980,27,27,27,27,27,28,28,28
,,,,1981-1990,28,28,28,28,28,28,28,28
,,,,1991-2000,3,3,3,3,2,2,3,3
,,,,2001-2010,0,0,0,26,26,26,25,26
,,,,2011-2020,0,0,0,114,117,115,113,116
,,FLERBOST,multi-dwelling buildings,-1930,1103,1103,1107,1128,1140,1140,1141,1166
,,,,1931-1940,2864,2873,2878,2881,2901,2913,2917,2920
,,,,1941-1950,3130,3184,3177,3180,3183,3218,3225,3229
,,,,1951-1960,7531,7606,7615,7701,7707,7651,7674,7773
,,,,1961-1970,6656,6454,6661,6557,6557,6696,6696,6709
,,,,1971-1980,4312,4427,4475,4372,4376,4396,4396,4512
,,,,1981-1990,2089,2143,2080,2081,2086,2093,2087,2087
,,,,1991-2000,1760,1762,1763,1763,1764,1765,1765,1766
,,,,2001-2010,3759,3759,3759,3735,3735,3805,3805,3805
,,,,2011-2020,1000,1150,1352,2745,3356,3914,4085,5050
,,OVRHUS,other buildings,-1930,23,23,23,23,22,22,22,22
,,,,1931-1940,0,0,0,0,0,0,0,0
,,,,1941-1950,4,4,4,4,4,117,4,4
,,,,1951-1960,96,27,27,0,0,27,27,27
,,,,1961-1970,41,41,66,66,67,67,42,42
,,,,1971-1980,229,120,150,127,127,151,151,46
,,,,1981-1990,21,95,159,109,183,159,159,159
,,,,1991-2000,4,4,4,4,3,3,3,3
,,,,2001-2010,88,88,88,88,88,88,88,88
,,,,2011-2020,0,0,0,27,27,0,0,0
