Decile ID,Decile,Good ID,Good,Expenditures,Expenditures -- margin of error,Share,Share of margin of error,Calculated population size,Average number of persons,Average number of consumer units
D1,decil 1,r001,total expenditures,127690,13620,100.0,0.0,308060,1.1,1.06
,,r002,food,15620,2360,13.2,1.9,308060,1.1,1.06
,,r003,bread and cereals,3080,540,2.7,0.5,308060,1.1,1.06
,,r004,rice and products of rice -- of which:,130,70,..,..,308060,1.1,1.06
,,r005,rice,70,50,..,..,308060,1.1,1.06
,,r006,products of rice,70,40,..,..,308060,1.1,1.06
,,r007,pasta products,190,80,0.2,0.1,308060,1.1,1.06
,,r008,flour -- grain,330,150,0.4,0.2,308060,1.1,1.06
,,r009,bread -- of which:,1400,290,1.2,0.2,308060,1.1,1.06
,,r010,hard bread,160,100,..,..,308060,1.1,1.06
,,r011,soft white bread,240,80,0.2,0.1,308060,1.1,1.06
,,r012,soft brown bread,290,190,0.2,0.1,308060,1.1,1.06
,,r013,soft light bread,360,160,0.3,0.1,308060,1.1,1.06
,,r014,bread unspecified,360,150,0.3,0.1,308060,1.1,1.06
,,r015,pastry-cook products,1020,320,0.9,0.3,308060,1.1,1.06
,,r016,meat,2510,570,2.1,0.5,308060,1.1,1.06
,,r017,fresh -- chilled or frozen meat of bovine animals,210,140,0.2,0.1,308060,1.1,1.06
,,r018,fresh -- chilled or frozen meat of pig,290,160,0.2,0.1,308060,1.1,1.06
,,r019,fresh -- chilled or frozen meat of sheep and goat,..,..,..,..,308060,1.1,1.06
,,r020,fresh -- chilled or frozen meat of poultry,310,180,0.3,0.2,308060,1.1,1.06
,,r021,dried -- salted or smoked meat and edible meat offal,..,..,..,..,308060,1.1,1.06
,,r022,dried -- salted or smoked meat of pig,750,300,0.6,0.2,308060,1.1,1.06
,,r023,dried -- salted or smoked other meats,140,80,..,..,308060,1.1,1.06
,,r024,meat -- sausages and meat of sandwiches,500,160,0.4,0.1,308060,1.1,1.06
,,r025,pastry -- cured meats and provisions,130,60,..,..,308060,1.1,1.06
,,r026,meatdishes,160,130,..,..,308060,1.1,1.06
,,r027,meat - unspecified,..,..,..,..,308060,1.1,1.06
,,r028,fish,1020,390,0.8,0.3,308060,1.1,1.06
,,r029,fresh -- chilled or frozen fish -- of which:,550,310,0.4,0.2,308060,1.1,1.06
,,r030,codfish,..,..,..,..,308060,1.1,1.06
,,r031,salomonfish,190,140,..,..,308060,1.1,1.06
,,r032,herring,..,..,..,..,308060,1.1,1.06
,,r033,other fish,..,..,0.2,0.1,308060,1.1,1.06
,,r034,seafood,50,40,..,..,308060,1.1,1.06
,,r035,caviar -- roes -- other fishproducts,60,50,..,..,308060,1.1,1.06
,,r036,fish and seafood dishes,360,180,0.3,0.1,308060,1.1,1.06
,,r037,fish and seafood - unspecified,..,..,..,..,308060,1.1,1.06
,,r038,milk -- cheese and eggs,2560,440,2.1,0.3,308060,1.1,1.06
,,r039,milk (fat >=1 --5%),190,80,0.2,0.1,308060,1.1,1.06
,,r040,low fat milk (fat <1 --5%),520,130,0.5,0.1,308060,1.1,1.06
,,r041,preserved milk,..,..,..,..,308060,1.1,1.06
,,r042,yoghurt and sour milk,440,140,0.4,0.1,308060,1.1,1.06
,,r043,cream -- sour cream (fat>=29%),60,30,..,..,308060,1.1,1.06
,,r044,cream -- sour cream (fat<29%),160,80,..,..,308060,1.1,1.06
,,r045,cheese (fat >=17%),590,200,0.5,0.2,308060,1.1,1.06
,,r046,cheese (fat <17%),330,140,0.3,0.1,308060,1.1,1.06
,,r047,eggs,240,70,0.2,0.1,308060,1.1,1.06
,,r048,milk -- cheese -- eggs - ospec,..,..,..,..,308060,1.1,1.06
,,r049,oils and fats,440,180,0.4,0.1,308060,1.1,1.06
,,r050,butter,180,150,0.2,0.1,308060,1.1,1.06
,,r051,margarine (fat>=40%),80,40,..,..,308060,1.1,1.06
,,r052,margarine (fat<40%),50,30,..,..,308060,1.1,1.06
,,r053,olive oil -- cooking oil -- mayonnaise,140,80,..,..,308060,1.1,1.06
,,r054,fruit and berries,1400,420,1.2,0.4,308060,1.1,1.06
,,r055,apples,140,70,..,..,308060,1.1,1.06
,,r056,pears,130,80,..,..,308060,1.1,1.06
,,r057,bananas,240,80,0.2,0.1,308060,1.1,1.06
,,r058,citrus fruits,200,80,0.2,0.1,308060,1.1,1.06
,,r059,other fresh fruit,260,150,0.2,0.1,308060,1.1,1.06
,,r060,dried fruit,200,110,0.2,0.1,308060,1.1,1.06
