Region ID,Region,Metric ID,Metric,Decile ID,Decile,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0184,Solna,FaktInkEjke,primary income including capital gains,D1,Decile 1,1.2,1.8,1.3,1.2,0.9,0.7,0.9,1.0,1.1,0.8
,,,,D2,Decile 2,24.3,30.1,30.2,33.8,37.0,36.2,38.2,40.9,40.6,34.5
,,,,D3,Decile 3,129.3,140.1,152.5,170.6,190.1,198.7,203.0,197.1,209.2,199.9
,,,,D4,Decile 4,278.6,293.4,309.6,325.5,343.4,351.9,358.3,359.5,365.3,363.0
,,,,D5,Decile 5,367.6,381.2,397.6,415.5,436.2,450.5,459.1,463.0,471.0,470.0
,,,,D6,Decile 6,458.8,478.8,495.8,525.6,553.2,571.2,579.5,578.2,593.4,587.8
,,,,D7,Decile 7,584.8,608.6,630.2,666.0,704.1,722.8,731.3,728.3,743.4,739.0
,,,,D8,Decile 8,746.1,775.9,800.9,854.0,904.2,920.1,923.2,916.8,939.7,934.2
,,,,D9,Decile 9,1012.5,1043.1,1082.7,1166.3,1248.2,1265.0,1258.4,1217.5,1243.5,1237.9
,,,,D10,Decile 10,..,..,..,..,..,..,..,..,..,..
,,FaktInkExEjke,primary income excluding capital gains,D1,Decile 1,1.2,1.8,1.1,1.0,0.7,0.6,0.7,0.9,0.9,0.8
,,,,D2,Decile 2,20.6,26.0,23.8,26.0,25.2,28.2,29.5,33.3,33.8,27.7
,,,,D3,Decile 3,115.0,127.5,133.7,145.8,163.1,176.3,181.5,177.9,188.4,180.9
,,,,D4,Decile 4,268.8,283.7,297.3,310.5,325.9,338.0,346.1,350.3,355.2,353.2
,,,,D5,Decile 5,359.1,373.5,385.8,400.6,415.5,433.6,443.3,451.4,460.0,458.1
,,,,D6,Decile 6,445.4,466.1,477.2,498.4,521.0,541.3,552.7,561.5,575.0,572.7
,,,,D7,Decile 7,563.6,588.9,602.1,627.3,654.1,680.2,690.4,703.9,717.7,715.6
,,,,D8,Decile 8,715.8,745.8,762.1,792.3,820.7,849.0,865.3,879.4,900.2,904.3
,,,,D9,Decile 9,954.2,987.2,1008.9,1049.1,1070.5,1111.3,1128.6,1144.8,1169.3,1183.2
,,,,D10,Decile 10,..,..,..,..,..,..,..,..,..,..
,,DispInkInklEjke,disposable income including capital gains,D1,Decile 1,143.2,147.3,153.0,155.6,160.5,163.9,163.9,165.4,166.5,170.9
