Background,Dwelling Type ID,Dwelling Type Name,Age ID,Age Name,Gender ID,Gender Name,2012,2013,2014,2015,2016,2017,2018,2019,2020
foreign background,SMAG,one- or two-dwelling buildings -- owner-occupied,0-9,-9 years,1,men,22358,22905,24041,25598,28292,30257,31543,32692,33241
,,,,,2,women,21530,21628,22451,23834,26246,27985,29386,30320,30985
,,,,,4,men and women,43888,44533,46492,49432,54538,58242,60929,63012,64226
,,,010-19,10-19 years,1,men,31039,31495,32657,34214,37439,40269,43089,44094,45293
,,,,,2,women,29599,30441,31731,33250,35675,37608,39503,41289,42913
,,,,,4,men and women,60638,61936,64388,67464,73114,77877,82592,85383,88206
,,,020-29,20-29 years,1,men,24222,25284,26883,28136,30247,31614,33024,35228,35323
,,,,,2,women,23333,23994,25211,26295,28130,28923,29499,29882,29575
,,,,,4,men and women,47555,49278,52094,54431,58377,60537,62523,65110,64898
,,,030-39,30-39 years,1,men,33703,34319,35963,37611,40693,42757,44449,45673,46569
,,,,,2,women,43457,43714,44619,45621,48453,50160,51388,52508,53120
,,,,,4,men and women,77160,78033,80582,83232,89146,92917,95837,98181,99689
,,,040-49,40-49 years,1,men,49428,49774,50629,51472,53850,54907,56708,58363,60193
,,,,,2,women,55125,55891,57212,58484,60958,62330,64063,65556,67250
,,,,,4,men and women,104553,105665,107841,109956,114808,117237,120771,123919,127443
,,,050-59,50-59 years,1,men,40883,42676,44754,46823,49460,51349,53341,54740,56291
,,,,,2,women,42849,44247,45779,47201,49284,50896,52935,54778,56588
,,,,,4,men and women,83732,86923,90533,94024,98744,102245,106276,109518,112879
,,,060-64,60-64 years,1,men,15754,15773,16186,16611,17581,18491,19310,20149,21281
,,,,,2,women,17332,17407,17604,17919,18704,19290,19851,20266,20973
,,,,,4,men and women,33086,33180,33790,34530,36285,37781,39161,40415,42254
,,,065-69,65-69 years,1,men,14044,14494,14739,14958,15040,14998,15112,15598,16016
,,,,,2,women,13907,14693,15542,16060,16308,16266,16344,16507,16835
,,,,,4,men and women,27951,29187,30281,31018,31348,31264,31456,32105,32851
,,,070-79,70-79 years,1,men,18152,18932,19699,20208,21168,21890,22540,22871,23219
